,rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address,Country,City,Latitude,Longitude
1084,1001,doshisha university,28309,18.8,4.0,41.0,22.1,15.6,9.8,7.7,35.7,27.6,"Karasuma-higashi-iru, Imadegawa-dori, Kamigyo-ku, Kyoto, 602-8580, Japan",,,,,,Japan, Kyoto,35.021041,135.7556075
1086,1001,edge hill university,12185,15.5,5.0,68.0,22.1,14.8,10.2,33.1,34.4,42.4,"St. Helens Road, Ormskirk, Lancashire, L39 4QP, United Kingdom",,,,,,United Kingdom, Ormskirk,53.5673603,-2.8859603
1087,1001,ege university,46056,21.0,3.0,50.0,22.1,17.2,10.2,13.5,37.9,22.1,"Ege Üniversitesi Kampüsü, Bornova, Izmir, 35040, Turkey",,,,,,Turkey, Bornova,38.4660651,27.2190721
1088,1001,ehime university,9333,13.1,2.0,38.0,22.1,21.3,14.6,20.5,42.7,25.9,"10-13 Dogo-himata, Matsuyama, Ehime, 790-8577, Japan",,,,,,Japan, Matsuyama,33.8395188,132.7653521
1089,1001,university electro communications,4813,15.1,5.0,12.0,22.1,19.3,18.6,14.1,39.1,29.0,"1-5-1 Chofugaoka, Chofu, Tokyo, 182-8585, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
1092,1001,universidade do estado do rio de janeiro uerj,22879,8.9,0.0,57.0,22.1,24.2,10.9,15.2,38.1,21.6,"Rua São Francisco Xavier 524, Maracanã, Rio de Janeiro, 20550-900, Brazil",,,,,,Brazil, Maracanã,-22.91216195,-43.23117510590559
1093,1001,universidade do estado de santa catarina,12922,11.9,1.0,52.0,22.1,18.1,9.3,19.6,34.5,16.0,"Av Madre Benvenuta, 2007 Itacorubi, Florianópolis, Santa Catarina, 88035 901, Brazil",,,,,,Brazil, Florianópolis,-27.5973002,-48.5496098
1094,1001,universidade estadual de maringa,22620,12.5,1.0,58.0,22.1,19.6,10.0,8.8,34.7,17.4,"Av. Colombo, 5790, Jd. Universitário, Maringá, Paraná, 87020-900, Brazil",,,,,,Brazil, Maringá,-23.425269,-51.9382078
1095,1001,universidade estadual do oeste do parana unioeste,11927,9.1,0.0,59.0,22.1,18.8,10.7,4.0,34.9,15.2,"R. Universitária, 1619, Cascavel, 85819-110, Brazil",,,,,,Brazil, Cascavel,-24.9554996,-53.4560544
1097,1001,fayoum university,33084,14.1,1.0,39.0,22.1,15.7,9.8,32.7,36.0,39.3,"Said Soliman St., University Region, Fayoum, 63514, Egypt",,,,,,Egypt, Egypt,26.2540493,29.2675469
1098,1001,universidade federal do abc ufabc,14422,20.9,1.0,41.0,22.1,15.9,11.8,24.1,35.8,33.4,"Av. dos Estados, 5001, Santo André, Bairro Santa Terezinha, 09210 580, Brazil",,,,,,Brazil, Santo André,-23.6533349,-46.5279079
1099,1001,federal university alagoas,24077,13.2,0.0,,22.1,16.5,6.8,12.2,34.9,21.5,"Av. Manoel Severino Barbosa, Bom Sucesso, Arapiraca, 57309-005, Brazil",,,,,,Brazil, Bom Sucesso,-21.0323516,-44.7598082
1100,1001,universidade federal da bahia,40848,15.9,0.0,53.0,22.1,21.8,13.7,18.7,34.4,23.9,"Rua Augusto Viana Número 1 - Palácio da Reitoria, Canela, Salvador, Bahia, 40110-909, Brazil",,,,,,Brazil, Canela,-29.3626977,-50.8136305
1101,1001,universidade federal do ceara ufc,34676,17.2,1.0,46.0,22.1,22.4,11.8,20.7,38.6,25.8,"Av. da Universidade, 2853 - Benfica, Fortaleza, Ceará, 60020-181, Brazil",,,,,,Brazil, Fortaleza,-3.7304512,-38.5217989
1102,1001,universidade federal de ciencias da saude de porto alegre ufcspa,3621,10.7,2.0,,22.1,20.3,10.5,12.9,34.4,18.0,"Rua Sarmento Leite, 245, Porto Alegre, Rio Grande do Sul, 90050-170, Brazil",,,,,,Brazil, Porto Alegre,-30.0324999,-51.2303767
1103,1001,federal university espirito santo,24924,13.3,1.0,59.0,22.1,17.9,9.3,16.2,36.1,22.4,"Av. Fernando Ferrari, 514 - Goiabeiras, Vitória, Espírito Santo, 29075-910, Brazil",,,,,,Brazil, Vitória,-20.3200917,-40.3376682
1104,1001,universidade federal de goias,34158,13.4,1.0,50.0,22.1,23.3,9.7,14.2,39.6,20.4,"Campus Samambaia, Goiânia, Goiás, 74690-900, Brazil",,,,,,Brazil, Goiânia,-16.680882,-49.2532691
1105,1001,federal university itajuba,9449,18.6,1.0,29.0,22.1,16.3,8.9,19.8,36.5,22.7,"Av. BPS, 1303, Bairro Pinheirinho, Itajubá, Minas Gerais, 37500 903, Brazil",,,,,,Brazil, Itajubá,-22.4238234,-45.4524156
1106,1001,universidade federal de lavras,14024,19.4,1.0,50.0,22.1,23.9,16.8,11.2,54.8,18.8,"Av. Doutor Sylvio Menicucci, 1001 Kennedy, Lavras, 37200-000, Brazil",,,,,,Brazil, Lavras,-21.2425512,-44.9991978
1107,1001,federal university mato grosso do sul,25018,18.0,0.0,49.0,22.1,17.1,6.9,7.4,34.4,16.8,"Av. Costa e Silva, s/nº, Bairro Universitário, Campo Grande -MS, 79070-900, Brazil",,,,,,Brazil, Brazil,-10.3333333,-53.2
1108,1001,universidade federal de ouro preto ufop,13823,16.3,1.0,53.0,22.1,16.3,9.6,19.4,36.4,20.6,"R. Diogo de Vasconcelos, 122, Pilar ‐ Ouro Preto, Minas Gerais, 35400-000, Brazil",,,,,,Brazil, Brazil,-10.3333333,-53.2
1109,1001,federal university para,48114,19.6,0.0,44.0,22.1,17.1,9.6,11.8,34.8,24.0,"Rua Augusto Corrêa, 01, Guamá, Belém, Pará, 66075-110, Brazil",,,,,,Brazil, Belém,-1.45056,-48.4682453
1110,1001,universidade federal do parana ufpr,34528,14.2,0.0,49.0,22.1,24.4,11.5,12.7,35.1,22.2,"Rua XV de Novembro, 1299, Curitiba, 80060-000, Brazil",,,,,,Brazil, Curitiba,-25.4295963,-49.2712724
